,index_code,stock_code,short_name
379,000300,600760,中航沈飞
380,000300,001289,龙源电力
381,000300,000807,云铝股份
382,000300,300274,阳光电源
383,000300,002050,三花智控
384,000300,000661,长春高新
385,000300,601236,红塔证券
386,000300,601669,中国电建
387,000300,002709,天赐材料
388,000300,601658,邮储银行
389,000300,002594,比亚迪
390,000300,600460,士兰微  
391,000300,600795,国电电力
392,000300,600219,南山铝业
393,000300,600905,三峡能源
394,000300,600011,华能国际
395,000300,601319,中国人保
396,000300,600875,东方电气
397,000300,600010,包钢股份
398,000300,000063,中兴通讯
399,000300,601600,中国铝业
450,000300,002475,立讯精密
451,000300,603993,洛阳钼业
452,000300,601818,光大银行
453,000300,003816,中国广核
454,000300,600025,华能水电
455,000300,688256,寒武纪-U
456,000300,688981,中芯国际
457,000300,000938,紫光股份
458,000300,688041,海光信息
459,000300,600584,长电科技
460,000300,603019,中科曙光
461,000300,002049,紫光国微
462,000300,603296,华勤技术
463,000300,600958,东方证券
464,000300,601668,中国建筑
465,000300,002466,天齐锂业
466,000300,600111,北方稀土
467,000300,000776,广发证券
468,000300,000630,铜陵有色
469,000300,300408,三环集团
470,000300,601985,中国核电
471,000300,601336,新华保险
472,000300,601688,华泰证券
473,000300,600482,中国动力
474,000300,601766,中国中车
475,000300,688472,阿特斯  
476,000300,002460,赣锋锂业
477,000300,601127,赛力斯  
478,000300,688396,华润微  
479,000300,603986,兆易创新
480,000300,600362,江西铜业
481,000300,600089,特变电工
482,000300,601618,中国中冶
483,000300,601601,中国太保
484,000300,000977,浪潮信息
485,000300,002463,沪电股份
486,000300,688012,中微公司
487,000300,688187,时代电气
488,000300,688126,沪硅产业
489,000300,600183,生益科技
490,000300,601138,工业富联
491,000300,688082,盛美上海
492,000300,300502,新易盛
493,000300,601111,中国国航
494,000300,300308,中际旭创
495,000300,002916,深南电路
496,000300,300394,天孚通信
497,000300,002938,鹏鼎控股
498,000300,688008,澜起科技
499,000300,688169,石头科技
