,index_code,stock_code,short_name
0,000905,300454,深信服
1,000905,601019,山东出版
2,000905,002653,海思科
3,000905,000559,万向钱潮
4,000905,300058,蓝色光标
5,000905,002294,信立泰
6,000905,002756,永兴材料
7,000905,002155,湖南黄金
8,000905,600329,达仁堂  
9,000905,688561,奇安信-U
10,000905,300037,新宙邦
11,000905,002444,巨星科技
12,000905,688180,君实生物-U
13,000905,600637,东方明珠
14,000905,300735,光弘科技
15,000905,688235,百济神州-U
16,000905,300115,长盈精密
17,000905,000034,神州数码
18,000905,600885,宏发股份
19,000905,002773,康弘药业
20,000905,600166,福田汽车
21,000905,603179,新泉股份
22,000905,300142,沃森生物
23,000905,002262,恩华药业
24,000905,000951,中国重汽
25,000905,300003,乐普医疗
26,000905,600754,锦江酒店
27,000905,301358,湖南裕能
28,000905,601997,贵阳银行
29,000905,300558,贝达药业
30,000905,300601,康泰生物
31,000905,688278,特宝生物
32,000905,300002,神州泰岳
33,000905,603529,爱玛科技
34,000905,601665,齐鲁银行
35,000905,688617,惠泰医疗
36,000905,601858,中国科传
37,000905,002563,森马服饰
38,000905,600867,通化东宝
39,000905,000009,中国宝安
40,000905,002410,广联达
41,000905,600901,江苏金租
42,000905,603728,鸣志电器
43,000905,300212,易华录
44,000905,688065,凯赛生物
45,000905,000050,深天马Ａ
46,000905,300765,新诺威
47,000905,603659,璞泰来  
48,000905,002065,东华软件
49,000905,000032,深桑达Ａ
50,000905,600380,健康元  
51,000905,600516,方大炭素
52,000905,600536,中国软件
53,000905,000528,柳    工
54,000905,601577,长沙银行
55,000905,000783,长江证券
56,000905,002572,索菲亚
57,000905,600060,海信视像
58,000905,600521,华海药业
59,000905,600859,王府井  
60,000905,000785,居然智家
61,000905,002603,以岭药业
62,000905,688017,绿的谐波
63,000905,600373,中文传媒
64,000905,688578,艾力斯  
65,000905,600977,中国电影
66,000905,000636,风华高科
67,000905,000513,丽珠集团
68,000905,002439,启明星辰
69,000905,300383,光环新网
70,000905,300888,稳健医疗
71,000905,601156,东航物流
72,000905,002508,老板电器
73,000905,002153,石基信息
74,000905,002850,科达利
75,000905,300251,光线传媒
76,000905,002007,华兰生物
77,000905,300339,润和软件
78,000905,603596,伯特利  
79,000905,688819,天能股份
80,000905,002432,九安医疗
81,000905,689009,XD九号公-WD
82,000905,301267,华厦眼科
83,000905,603000,人民网  
84,000905,600763,通策医疗
85,000905,001696,宗申动力
86,000905,000921,海信家电
87,000905,000887,中鼎股份
88,000905,603816,顾家家居
89,000905,002739,万达电影
90,000905,002966,苏州银行
91,000905,300017,网宿科技
92,000905,600546,山煤国际
93,000905,600208,衢州发展
94,000905,601118,海南橡胶
95,000905,600258,首旅酒店
96,000905,600739,辽宁成大
97,000905,600872,中炬高新
98,000905,002085,万丰奥威
99,000905,603737,三棵树  
150,000905,603858,步长制药
151,000905,600535,天士力  
152,000905,002607,中公教育
153,000905,300699,光威复材
154,000905,002064,华峰化学
155,000905,688114,华大智造
156,000905,600095,湘财股份
157,000905,688520,神州细胞
158,000905,600959,江苏有线
159,000905,603658,安图生物
160,000905,002568,百润股份
161,000905,601966,玲珑轮胎
162,000905,000739,普洛药业
163,000905,603129,春风动力
164,000905,603826,坤彩科技
165,000905,301301,川宁生物
166,000905,300676,华大基因
167,000905,600126,杭钢股份
168,000905,600566,济川药业
169,000905,002984,森麒麟
170,000905,301498,乖宝宠物
171,000905,000967,盈峰环境
172,000905,002312,川发龙蟒
173,000905,002670,国盛证券
174,000905,002517,恺英网络
175,000905,603786,科博达  
176,000905,000423,东阿阿胶
177,000905,603899,晨光股份
178,000905,002044,美年健康
179,000905,300757,罗博特科
180,000905,603345,安井食品
181,000905,300285,国瓷材料
182,000905,600582,天地科技
183,000905,600808,马钢股份
184,000905,002624,完美世界
185,000905,600839,四川长虹
186,000905,600056,中国医药
187,000905,600801,华新水泥
188,000905,002372,伟星新材
189,000905,688608,恒玄科技
190,000905,000400,许继电气
191,000905,002958,青农商行
192,000905,603868,飞科电器
193,000905,000403,派林生物
194,000905,601179,中国西电
195,000905,300024,机器人
196,000905,300957,贝泰妮
197,000905,002472,双环传动
198,000905,300595,欧普康视
199,000905,000997,新 大 陆
250,000905,601098,中南传媒
251,000905,603338,浙江鼎力
252,000905,300919,中伟股份
253,000905,600004,白云机场
254,000905,688363,华熙生物
255,000905,600873,梅花生物
256,000905,600143,金发科技
257,000905,603707,健友股份
258,000905,300140,节能环境
259,000905,002078,太阳纸业
260,000905,300136,信维通信
261,000905,601598,中国外运
262,000905,301536,星宸科技
263,000905,002261,拓维信息
264,000905,600170,上海建工
265,000905,002436,兴森科技
266,000905,002507,涪陵榨菜
267,000905,300529,健帆生物
268,000905,600062,华润双鹤
269,000905,600316,洪都航空
270,000905,600361,创新新材
271,000905,601933,永辉超市
272,000905,000062,深圳华强
273,000905,601921,浙版传媒
274,000905,688777,中控技术
275,000905,003022,联泓新科
276,000905,600606,绿地控股
277,000905,002461,珠江啤酒
278,000905,300763,锦浪科技
279,000905,300677,英科医疗
280,000905,688032,禾迈股份
281,000905,300144,宋城演艺
282,000905,600398,海澜之家
283,000905,600699,均胜电子
284,000905,002851,麦格米特
285,000905,000958,电投产融
286,000905,300623,捷捷微电
287,000905,600131,国网信通
288,000905,600988,赤峰黄金
289,000905,300474,景嘉微
290,000905,002120,韵达股份
291,000905,601928,凤凰传媒
292,000905,600927,永安期货
293,000905,600998,九州通  
294,000905,002152,广电运通
295,000905,600132,重庆啤酒
296,000905,002299,圣农发展
297,000905,600704,物产中大
298,000905,300487,蓝晓科技
299,000905,000937,冀中能源
350,000905,002429,兆驰股份
351,000905,600141,兴发集团
352,000905,300496,中科创达
353,000905,002025,航天电器
354,000905,002223,鱼跃医疗
355,000905,600529,山东药玻
356,000905,600435,北方导航
357,000905,600155,华创云信
358,000905,600511,国药股份
359,000905,601001,晋控煤业
360,000905,600007,中国国贸
361,000905,600486,扬农化工
362,000905,601568,北元集团
363,000905,002195,岩山科技
364,000905,603606,东方电缆
365,000905,002385,大北农
366,000905,300070,碧水源
367,000905,688563,航材股份
368,000905,600562,国睿科技
369,000905,300012,华测检测
370,000905,600483,福能股份
371,000905,300001,特锐德
372,000905,603233,大参林  
373,000905,600906,财达证券
374,000905,601128,常熟银行
375,000905,600177,雅戈尔  
376,000905,600079,人福医药
377,000905,600848,上海临港
378,000905,603589,口子窖  
379,000905,002318,久立特材
380,000905,000426,兴业银锡
381,000905,000830,鲁西化工
382,000905,601965,中国汽研
383,000905,688100,威胜信息
384,000905,603156,养元饮品
385,000905,600038,中直股份
386,000905,600325,华发股份
387,000905,600369,西南证券
388,000905,600528,中铁工业
389,000905,600707,彩虹股份
390,000905,600816,建元信托
391,000905,600862,中航高科
392,000905,601139,深圳燃气
393,000905,601155,新城控股
394,000905,601216,君正集团
395,000905,603077,和邦生物
396,000905,688538,和辉光电-U
397,000905,000723,美锦能源
398,000905,000738,航发控制
399,000905,688475,萤石网络
450,000905,600298,安琪酵母
451,000905,600378,昊华科技
452,000905,600612,老凤祥  
453,000905,603568,伟明环保
454,000905,600352,浙江龙盛
455,000905,601162,天风证券
456,000905,600925,苏能股份
457,000905,601099,太平洋  
458,000905,000750,国海证券
459,000905,600863,内蒙华电
460,000905,603556,海兴电力
461,000905,000959,首钢股份
462,000905,601717,中创智领
463,000905,688220,翱捷科技-U
464,000905,000563,陕国投Ａ
465,000905,600884,杉杉股份
466,000905,000683,博源化工
467,000905,600390,五矿资本
468,000905,000582,北部湾港
469,000905,600663,陆家嘴  
470,000905,600688,上海石化
471,000905,600895,张江高科
472,000905,688425,铁建重工
473,000905,600737,中粮糖业
474,000905,600312,平高电气
475,000905,600764,中国海防
476,000905,688582,芯动联科
477,000905,002831,裕同科技
478,000905,003035,南网能源
479,000905,000066,中国长城
480,000905,600871,石化油服
481,000905,688248,南网科技
482,000905,002939,长城证券
483,000905,601108,财通证券
484,000905,002673,西部证券
485,000905,688153,唯捷创芯
486,000905,600968,海油发展
487,000905,000623,吉林敖东
488,000905,300724,捷佳伟创
489,000905,002273,水晶光电
490,000905,000519,中兵红箭
491,000905,002423,中粮资本
492,000905,601212,白银有色
493,000905,000155,川能动力
494,000905,601990,南京证券
495,000905,603341,龙旗科技
496,000905,300390,天华新能
497,000905,600032,浙江新能
498,000905,601016,节能风电
499,000905,002797,第一创业
550,000905,000629,钒钛股份
551,000905,000729,燕京啤酒
552,000905,000932,华菱钢铁
553,000905,001286,陕西能源
554,000905,600348,华阳股份
555,000905,600487,亨通光电
556,000905,600820,隧道股份
557,000905,600956,新天绿能
558,000905,300803,指南针
559,000905,600517,国网英大
560,000905,600153,建发股份
561,000905,600171,上海贝岭
562,000905,002500,山西证券
563,000905,603298,杭叉集团
564,000905,000709,河钢股份
565,000905,002340,格林美
566,000905,600970,中材国际
567,000905,600580,卧龙电驱
568,000905,600909,华安证券
569,000905,002595,豪迈科技
570,000905,600583,海油工程
571,000905,000537,中绿电
572,000905,601666,平煤股份
573,000905,603939,益丰药房
574,000905,600282,南钢股份
575,000905,001213,中铁特货
576,000905,002266,浙富控股
577,000905,000598,兴蓉环境
578,000905,601000,唐山港  
579,000905,603379,三美股份
580,000905,600299,安迪苏  
581,000905,688318,财富趋势
582,000905,002608,江苏国信
583,000905,603486,科沃斯  
584,000905,600765,中航重机
585,000905,600096,云天化  
586,000905,601866,中远海发
587,000905,002558,巨人网络
588,000905,601061,中信金属
589,000905,688281,华秦科技
590,000905,002738,中矿资源
591,000905,688099,晶晨股份
592,000905,000825,太钢不锈
593,000905,300073,当升科技
594,000905,600271,航天信息
595,000905,002841,视源股份
596,000905,600157,永泰能源
597,000905,600598,北大荒  
598,000905,300679,电连技术
599,000905,601158,重庆水务
650,000905,300146,汤臣倍健
651,000905,000591,太阳能
652,000905,000429,粤高速Ａ
653,000905,600720,中交设计
654,000905,300627,华测导航
655,000905,300450,先导智能
656,000905,688297,中无人机
657,000905,601918,新集能源
658,000905,688728,格科微  
659,000905,601233,桐昆股份
660,000905,688188,柏楚电子
661,000905,600098,广州发展
662,000905,600499,科达制造
663,000905,301165,锐捷网络
664,000905,000987,越秀资本
665,000905,000893,亚钾国际
666,000905,601636,旗滨集团
667,000905,002532,天山铝业
668,000905,688469,芯联集成-U
669,000905,300458,全志科技
670,000905,688234,天岳先进
671,000905,600497,驰宏锌锗
672,000905,600021,上海电力
673,000905,002056,横店东磁
674,000905,000728,国元证券
675,000905,002185,华天科技
676,000905,601555,东吴证券
677,000905,601228,广州港  
678,000905,601696,中银证券
679,000905,002926,华西证券
680,000905,688778,厦钨新能
681,000905,688375,国博电子
682,000905,688213,思特威-W
683,000905,000933,神火股份
684,000905,688568,中科星图
685,000905,000703,恒逸石化
686,000905,603228,景旺电子
687,000905,688521,芯原股份
688,000905,603688,石英股份
689,000905,002080,中材科技
690,000905,002465,海格通信
691,000905,603927,中科软  
692,000905,603893,瑞芯微  
693,000905,600985,淮北矿业
694,000905,601958,金钼股份
695,000905,002130,沃尔核材
696,000905,300207,欣旺达
697,000905,002138,顺络电子
698,000905,601198,东兴证券
699,000905,601456,国联民生
750,000905,688002,睿创微纳
751,000905,600995,南网储能
752,000905,600363,联创光电
753,000905,600549,厦门钨业
754,000905,605589,圣泉集团
755,000905,601615,明阳智能
756,000905,603160,汇顶科技
757,000905,688702,盛科通信-U
758,000905,300346,南大光电
759,000905,605358,立昂微  
760,000905,003031,中瓷电子
761,000905,601399,国机重装
762,000905,603290,斯达半导
763,000905,600685,中船防务
764,000905,300857,协创数据
765,000905,688052,纳芯微  
766,000905,603225,新凤鸣  
767,000905,600295,鄂尔多斯
768,000905,603650,彤程新材
769,000905,000415,渤海租赁
770,000905,600339,中油工程
771,000905,600008,首创环保
772,000905,600879,航天电子
773,000905,603087,甘李药业
774,000905,688301,奕瑞科技
775,000905,600673,东阳光  
776,000905,300373,扬杰科技
777,000905,600578,京能电力
778,000905,000060,中金岭南
779,000905,000878,云南铜业
780,000905,000883,湖北能源
781,000905,000898,鞍钢股份
782,000905,002414,高德红外
783,000905,688387,信科移动-U
784,000905,601168,西部矿业
785,000905,601106,中国一重
786,000905,002008,大族激光
787,000905,000960,锡业股份
788,000905,603565,中谷物流
789,000905,000733,振华科技
790,000905,600498,烽火通信
791,000905,601991,大唐发电
792,000905,300751,迈为股份
793,000905,603605,珀莱雅  
794,000905,688027,国盾量子
795,000905,688183,生益电子
796,000905,002353,杰瑞股份
797,000905,000543,皖能电力
798,000905,603979,金诚信  
799,000905,600109,国金证券
850,000905,002683,广东宏大
851,000905,688525,佰维存储
852,000905,600655,豫园股份
853,000905,600392,盛和资源
854,000905,600118,中国卫星
855,000905,300573,兴齐眼药
856,000905,300054,鼎龙股份
857,000905,000027,深圳能源
858,000905,002945,华林证券
859,000905,601608,中信重工
860,000905,688361,中科飞测
861,000905,002203,海亮股份
862,000905,000539,粤电力Ａ
863,000905,002202,金风科技
864,000905,001389,广合科技
865,000905,002281,光迅科技
866,000905,300567,精测电子
867,000905,002244,滨江集团
868,000905,002821,凯莱英
869,000905,000039,中集集团
870,000905,603885,吉祥航空
871,000905,002837,英维克
872,000905,601880,辽港股份
873,000905,688385,复旦微电
874,000905,000988,华工科技
875,000905,688295,中复神鹰
876,000905,002156,通富微电
877,000905,300604,长川科技
878,000905,688349,三一重能
879,000905,000831,中国稀土
880,000905,300223,北京君正
881,000905,300395,菲利华
882,000905,688772,珠海冠宇
883,000905,601231,环旭电子
884,000905,600928,西安银行
885,000905,002430,杭氧股份
886,000905,000021,深科技
887,000905,601333,广深铁路
888,000905,688120,华海清科
889,000905,688676,金盘科技
890,000905,002409,雅克科技
891,000905,688072,拓荆科技
892,000905,300748,金力永磁
893,000905,688249,晶合集成
894,000905,688122,西部超导
895,000905,600563,法拉电子
896,000905,301308,江波龙
897,000905,688172,燕东微  
898,000905,601611,中国核建
899,000905,300476,胜宏科技
